company_id,project_id,name,phone,street,city,state,zip,country,date_created
85976,50506,"Bel-Aire Mechanical, Inc",6238468600,4201 North 47th Avenue,Phoenix,Arizona,85031,USA,03/13/2026
85981,50506,Chateau ,,,,,,,03/13/2026
9004,50506,CriticalArc,,,,,,,08/28/2016
85988,50506,DLB Associates (EOR),,,,,,,03/13/2026
45134,50506,Dynalectric,,,,,,,08/11/2022
85991,50506,Dynalectric Company,,5711 SW Hood Ave.  ,Portland,Oregon,97239,USA,03/13/2026
85974,50506,Holder Construction,,,,,,,03/13/2026
85978,50506,"IES Communications, LLC",,2801 South Fair Lane,Tempe,AZ,85282,United States of America,03/13/2026
54427,50506,Johnson Controls,,,,,,,09/01/2023
85989,50506,Loftin Equipment,,,,,,,03/13/2026
85990,50506,MPSW,,,,,,,03/13/2026
71879,50506,Nixon Power,,,,,,,03/31/2025
63596,50506,Prime Controls,,,,,,,07/17/2024
85985,50506,Schneider - EPMS,,,,,,,03/13/2026
85983,50506,Stream Data Center,,,,,,,03/13/2026
85975,50506,Sturgeon Electric,(720) 375-2765,12150 East 112th Ave,Henderson,,80640,USA,03/13/2026
85977,50506,Summit Fire Protection,480-966-9178,2114 E Cedar St,Tempe,AZ,85281,,03/13/2026
85980,50506,Texas Air,,,,,,,03/13/2026
85979,50506,Tubbesing Solutions,2145493983,2020 Dipolmat Drive,Dallas,Texas,75234,United States,03/13/2026
85982,50506,United Metal Products,,,,,,,03/13/2026
85984,50506,Verity Commercial,,,,,,,03/13/2026
85987,50506,Vertiv (ERS),,,,,,,03/13/2026
85986,50506,Vertiv (UPS),,1050 Dearborn Drive,Columbus,OH,43085,United States,03/13/2026
